GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
BANF1,O75531,BAF,BANF1,none,Alexa Fluor 568,xxx,EPR7668,xxx,,Abcam,ab208534,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works (difficult to bleach),,CAJ_AbVal3,TON8,14,3,,,CAJ_TMA5_7,TMA7,13,4,,,,,,,
STAT6,P42226,,STAT6,Y641,Alexa Fluor 647,rabbit,D8S9Y,IgG,,CST,10205S,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal3,TON8,12,4,,,CAJ_TMA8_10,TMA8,13,4,pSTAT6,100,AM_TB,TB_B5;TB_C3_TB_E1,5,4,
,,,TCRb,none,Alexa Fluor 488,mouse,G-11,IgG1,,Santa Cruz Biotechnologies,sc-5277 AF488,FITC/488,,in progress,,,,,,,x,CAJ_AbVal4,TON8,5,2,,,CAJ_TMA8_10,TMA8,6,2,TCRb,100,,,,,
SDC1,P18827,Syndecan 1,CD138,none,FITC,mouse,B-A38,IgG1,,Abcam,ab27390,FITC/488,"plasma cells, MM (Dx) ",Level 1,,,,no comment,no comment,Works,,CAJ_AbVal3,TON8,12,2,,,CAJ_TMA8_10,TMA9,14,2,CD138,200,ZM2_009_VIGNESH,CHL_EBV,7,2,
MAPK3;MAPK1,P27361;P28482,p44/42 MAPK; ERK1;ERK2,ERK,p_T202/Y204,Phycoerythrin,xxx,197G2,xxx,,CST,14095S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,CAJ_AbVal3,TON8,12,3,,,CAJ_TMA8_10,TMA9,13,3,pERK,200,AM_TB,TB_B5;TB_C3_TB_E1,7,3,
CD38,P28907,cADP ribose hydrolase,CD38,none,Alexa Fluor 488,mouse,HIT2,IgG1,,BioLegend,303511,FITC/488,"T-cells, B-cells, NK",in progress,ZM1_121,,,no comment,no comment,no comment,x,ZM_AbVal2,TON8,10,2,,,same as 303512,,,,,,ZM1_151_VIT,LP;MEL;NL;VIT,8,2,
MALT1,Q9UDY8,Paracaspase,MALT1,none,none,mouse,50,IgG1,,Thermo Fisher,14-9961-82,"primary, mouse",xxx,in progress,,,,no comment,no comment,no comment,CAJ_180124 ton8: weak. cytoplasmic?,CAJ_AbVal1,TON8,4,4,,,x,,,,,,,,,,
,,,PDI,none,none,rabbit,C81H16,IgG,,CST,3501S,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,CAJ_180124 ton8: cytoplasmic subset of cells.,CAJ_AbVal1,TON8,5,2,PDI,800,x,,,,,,,,,,
CSF1R,P07333,MCSFR;cFms;CD115,CD115,p_Y723,none,rabbit,49C10,IgG,,CST,3155S,"primary, rabbit","Monocytes, CD33+ myeloid",in progress,,,,no comment,no comment,no comment,CAJ_180214 ton8. Follow up,CAJ_AbVal2,TON8,4,2,100,,x,,,,,,,,,,
GEMIN5,Q8TEQ6,,Gemin5,none,FITC,rabbit,polyclonal,IgG,,Biorbyt,orb318131,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,CAJ_180214 ton8. Follow up,CAJ_AbVal2,TON8,9,2,,,x,,,,,,,,,,
FCGR3,P08637;O75015,,CD16,none,Alexa Fluor 647,mouse,3G8,IgG1,,Santa Cruz Biotechnologies,sc-19620 AF647,647/Cy5,,,,,,,,,x,CAJ_AbVal2,TON8,9,4,,,where is this from? Is this the correct cat no?,,,,,,,,,,
FDXR,P22570,,FDXR,none,none,rabbit,,,,Sigma-Aldrich,HPA053673,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON8,6,2,200,,x,,,,,,,,,,
MAPK3;MAPK1,P27361;P28482,p44/42 MAPK; ERK1;ERK2,ERK,none,none,mouse,,,,CST,4696S,"primary, mouse",xxx,Level 1 (ton),,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON8,6,4,500,Cytoplasmic in all cells. Slightly lower in non-DC cells in GC.,x,,,,,,,,,,
TNFRSF1A,P19438,CD120A,TNFR1,none,none,mouse,H398,IgG2a,,Abcam,ab194814,"primary, mouse",,Level 1 (ton - try other tissues and 25-fold),,,,,,,25,CAJ_AbVal4,TON8,3,4,100,Membrane on non-GC cells.,x,,,,,,,,,,
FDX1,P10109,ADX,FDX1,none,none,rabbit,polyclonal,IgG ,,Proteintech,12592-1-AP,"primary, rabbit",,,,,,,,,x,CAJ_AbVal5,TON8,3,2,100,,x,,,,,,,,,,
CD69,Q07108,CLEC2C,CD69,none,none,rabbit,polyclonal,IgG,,Abcam,ab202909,"primary, rabbit",activated T and NK cells,Level 0,,,,no comment,no comment,no comment,ZM1_121: ton8 no signal (1:100),ZM_AbVal2,TON8,4,2,,,x,,,,,,,,,,
ITGAL,P20701,ITGAL; Integrin alpha L; LFA-1,CD11A,none,Phycoerythrin,mouse,HI111,IgG1,,BioLegend,301207,PE/555/Cy3,"T, NK, CD33+ myeloid",Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON8,6,3,,,x,,,,,,,,,,
,what subunit?,,CD3,none,Alexa Fluor 647,mouse,UCHT1,IgG1,,BioLegend,300422,647/Cy5,T-cells,Level 0,,,,Level 0,Level 0,Didn't work,x,ZM_AbVal2,TON8,6,4,,NO stain,x,,,,,,,,,,
,none,,PtdSer,none,Alexa Fluor 647,NA,NA,xxx,,BioLegend,640911,647/Cy5,xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON8,8,4,,,x,,,,,,,,,,
,,,S100a,none,Alexa Fluor 488,xxx,EPR5251,xxx,,Abcam,ab207367,FITC/488,xxx,Level 2,Triplet,,,Level 2,Level 2,JERRY,x,ZM_AbVal2,TON8,11,2,,,cued,,,,,,,,,,
ELANE,P08246,Neurophil Elastase,ELANE,none,FITC,mouse,G-2,IgG1,,Santa Cruz Biotechnologies,sc-55549 FITC,FITC/488,,in progress,,,,,,,x,x,,,,,,CAJ_TMA1,TMA1,6,2,,,,,,,
,multiple,,CDK1/2/3,p_T14,Alexa Fluor 488,rabbit,clone E161,IgG,H M Rt (Bo),Abcam,ab193829,FITC/488,xxx,Level 1,,,,no comment,no comment,Works,,cue,,,,,,CAJ_TMA8_10,TMA10,16,2,pCDK1,100,ZM2_029_ALL2,ALL2,10,2,
ALK,Q9UM73,CD246,ALK,none,Phycoerythrin,rabbit,D5F3,IgG,,CST,8868S,PE/555/Cy3,,Level 2,VS,,,,,,x,x,,,,,,CAJ_TMA8_10,TMA10,7,3,ALK,200,ZM2_029_ALL2,ALL2,4,3,
SNAI1,O95863,,Snail1,none,Alexa Fluor 488,xxx,20C8,xxx,,eBioscience,53-9859-80,FITC/488,xxx,Level 2,,,,Level 1,Level 1,Works,x,cue,,,,,,CAJ_TMA8_10,TMA10,10,2,Snail1,100,,,,,
,,,Survivin,none,Alexa Fluor 647,rabbit,71G4B7,IgG,,CST,2866S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA8_10,TMA10,10,4,Survivin,200,,,,,
,P16104,,H2A.X,p_S139,Alexa Fluor 647,xxx,20E3,xxx,,CST,9720S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA8_10,TMA10,14,4,pH2A.X,100,,,,,
ARG1,P05089,,ARG1,,Alexa Fluor 488,rabbit,D4E3M,IgG,H M Rt,CST,66297S,,,in progress,,,,,,,,cue,,,,,,CAJ_TMA8_10,TMA10,17,2,ARG1,300,,,,,
CDKN1A,P38936,p21;Waf1;Cip1,CDKN1A,none,Alexa Fluor 555,xxx,xxx,xxx,,CST,8493S,PE/555/Cy3,xxx,Level 1,,,,Level 0,Level 0,Works,,x,,,,,,CAJ_TMA8_10,TMA10,16,3,p21,100,,,,,
BANF1,O75531,BAF,BANF1,none,Alexa Fluor 647,xxx,EPR7668,xxx,,Abcam,ab208621,647/Cy5,xxx,Level 1,,,,Level 2,no comment,Works,x,x,,,,,,CAJ_TMA8_10,TMA10,16,4,BANF1,200,,,,,
CCNA2,P20248,,Cyclin A2,,Alexa Fluor 555,rabbit,EPR17351,IgG,,Abcam,ab217731,,,in progress,,,,,,,,,,,,,,CAJ_TMA8_10,TMA10,17,3,CycA2,200,,,,,
IRF3,Q14653,,IRF3,none,Alexa Fluor 647,mouse,SL-12,IgG1,H M Rt,Santa Cruz Biotechnologies,sc-33641 AF647,647/Cy5,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA11_13,TMA11,6,4,IRF3,200,ZM2_029_ALL2,ALL2,9,4,
CASP3,P42574,Caspase 3,CASP3,cl_D175,Phycoerythrin,rabbit,5A1E,IgG,H M Rt Mk,CST,9978S,PE/555/Cy3,,in progress,,,,,,,x,x,,,,,,CAJ_TMA11_13,TMA11,6,3,cCASP3,200,AM_TB,TB_B5;TB_C3_TB_E1,13,3,
,P16104,,H2A.X,p_S139,Alexa Fluor 647,mouse,2F3,IgG1,,BioLegend,613407,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,Works,x,cue,,,,,,CAJ_TMA11_13,TMA11,14,4,pH2A.X,200,,,,,
,,,Calponin,none,Alexa Fluor 555,rabbit,EP798Y,IgG,H (M Rt),Abcam,ab208051,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works,,x,,,,,,CAJ_TMA11_13,TMA11,7,3,Calponin,200,,,,,
,,,Collagen IV,none,Alexa Fluor 647,mouse,clone 1042,IgG2b,H,eBioscience,51-9871-80,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,x,,,,,,CAJ_TMA11_13,TMA11,12,4,Collagen IV,500,,,,,
LMNA,P02545,,LMNAC,none,Alexa Fluor 488,rabbit,EPR4100,IgG,H,Abcam,ab185014,FITC/488,xxx,Level 1,,,,no comment,no comment,Works,,x,,,,,,CAJ_TMA11_13,TMA11,16,2,LaminA/C,100,,,,,
,,,"Tubulin, gamma",none,Alexa Fluor 647,mouse,TU-30,IgG1,H M Rt Bo plants,Abcam,ab191114,647/Cy5,xxx,Level 1,,,,Level 2,no comment,Works,,x,,,,,,CAJ_TMA11_13,TMA11,17,4,Gamma tubulin,100,,,,,
,,,IRF3,,Alexa Fluor 555,rabbit,D9J5Q,IgG,H,CST,73147S,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA11,8,3,IRF3,150,,,,,
,,,IRF3,,,,,,,Abcam,ab204547,discontinued,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA11,9,2,IRF3,150,,,,,
,,,HSP90,,Phycoerythin,rabbit,C45G5,IgG,,CST,70657S,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA11,11,3,HSP90,300,,,,,
,,,CD86,none,SuperBright421,mouse,B7-2,IgG2b,,eBioscience,62-0869-41,,,,,,,,,,,,,,,,,CAJ_TMA11_13,TMA11,15,4,CD86,100,,,,,
,,,Lamin B Receptor,none,Alexa Fluor 488,rabbit,E398L,IgG,H,Abcam,ab201532,,,,,,,,,,,,,,,,,CAJ_TMA11_13,TMA11,17,2,Lamin B,100,,,,,
KRT19,P08727,,CK19,none,eFluor 570,mouse,BA17,IgG1,,eBioscience,41-9898-80,PE/555/Cy3,,,,,,,,,x,x,,,,,,CAJ_TMA11_13,TMA12,16,3,CK19,1000,ZM2_003_PDAC,all,7,3,
CD68,P34810,Microsialin,CD68,none,Alexa Fluor 488,rabbit,D4B9C,IgG ,,CST,24850S,FITC/488,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA11_13,TMA12,11,2,CD68,500,ZM2_029_ALL2,ALL2,8,2,
ITGAX,P20702,ITGAX; Integrin alpha X,CD11C,none,Phycoerythrin,mouse,Bu15,IgG1,,BioLegend,337205,PE/555/Cy3,,in progress,,,,,,,x,x,,,,,,CAJ_TMA11_13,TMA12,10,3,CD11C,100,ZM2_011_Vignesh,CHL,6,3,
ACTA2,P62736,,"Actin, alpha, smooth muscle",none,eFluor 660,mouse,1A4,IgG2a,,eBioscience,50-9760-80,647/Cy5,xxx,Level 2,Triplet,,,Level 2,Level 2,Works,x,same as 50-9760-82,,,,,,CAJ_TMA11_13,TMA12,13,4,aSMA,500,ZM1_037_Nicole1,LP40,5,4,
AR,P10275,Androgen Receptor,AR,none,Alexa Fluor 555,rabbit,D6F11,IgG,,CST,8956S,PE/555/Cy3,xxx,Level 1,,,,Level 1,no comment,no comment,,x,,,,,,CAJ_TMA11_13,TMA12,17,3,AR,100,ZM1_051_Nicole3,LP40,15,3,
,,,FOXA2,none,eFluor 660,mouse,3C10,IgG1,,eBioscience,50-4778-80,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA11_13,TMA12,7,4,FOXA2,200,,,,,
,P68431,Histone H3,H3,Me3_K27,Alexa Fluor 647,rabbit,C36B11,IgG,,CST,12158S,647/Cy5,xxx,Level 1,,,,no comment,no comment,Works (spindle cell),x,cue,,,,,,CAJ_TMA11_13,TMA12,8,4,H3K27Me3,200,,,,,
,,,CD24,none,FITC,mouse,SN3,IgG1,H,Abcam,ab30350,FITC/488,B-cells,Level 1,,,,no comment,no comment,May work,,x,,,,,,CAJ_TMA11_13,TMA12,9,2,CD24,200,,,,,
,,,CDK4,none,Phycoerythrin,rabbit,D9G3E,IgG,H Mk   ,CST,42749S,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works,,x,,,,,,CAJ_TMA11_13,TMA12,9,3,CDK4,200,,,,,
GZMB,P10144,CTLA1;CGL1;CSPB; Granzyme B,GzB,none,Alexa Fluor 647,mouse,2C5,IgG1,H M Rt,Santa Cruz Biotechnologies,sc-8022 AF647,647/Cy5,xxx,Level 0,,,,no comment,no comment,no comment,x,x,,,,,,CAJ_TMA11_13,TMA12,9,4,GzB,150,,,,,
GZMB,P10144,CTLA1;CGL1;CSPB; Granzyme B,GzB,none,FITC,mouse,B18.1,IgG1,H,Abcam,ab17929,FITC/488,xxx,Level 0,,,,in progress,no comment,More background,,x,,,,,discontinued,CAJ_TMA11_13,TMA12,10,2,GzB,100,,,,,
,,,CK_pan,none,Alexa Fluor 555,mouse,C11,IgG1,H M Rt Mk,CST,3478S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,,x,,,,,,CAJ_TMA11_13,TMA12,12,3,Keratin,400,,,,,
RB1,P06400,,Rb,none,Phycoerythrin,mouse,4H1,IgG2a,H Mk Bo,CST,14731S,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works (Eroprated 60ul),,x,,,,,,CAJ_TMA11_13,TMA12,15,3,pRb,200,,,,,
CASP8,Q14790,Caspase 8,Caspase 8,cleaved,Phycoerythrin,rabbit,18C8,IgG,,CST,12602S,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,6,3,cCASP8,200,,,,,
SYP,P08247,Synaptophysin,SYP,none,Alexa Fluor 555,rabbit,YE269,IgG,Rt (H M Mk Bo),Abcam,ab206870,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,8,3,Synaptophysin,200,,,,,
CDK9,P50750,,CDK9,none,Phycoerythrin,rabbit,C12F7,IgG,,CST,32038S,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,11,3,CDK9,200,,,,,
CDK6,Q00534,,CDK6,,Alexa Fluor 647,rabbit,EPR4515,IgG,H,Abcam,ab198946,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,12,4,CDK6,200,,,,,
,,,Perforin,none,Phycoerythrin,mouse,B-D48,IgG1,,abcam,ab47226,,,,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,14,3,Perforin,200,,,,,
,,,NeuN,none,Alexa Fluor 488,rabbit,D4G4O,IgG,H M Rt,CST,54761S,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,15,2,NeuN,200,,,,,
,,,Geminin,,,,,,,abcam,ab22539,discontinued,,,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,16,2,Geminin,200,,,,,
,,,CCNE1,none,Alexa Fluor 647,rabbit,EP435E,IgG,H M Rt,abcam,ab194069,,,,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,16,4,CCNE1,200,,,,,
,,Sca1;Ataxin1,Sca1,none,FITC,mouse,N76/8,IgG2b,H M Rt,abcam,ab186249,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA12,17,2,Sca1/Ataxin1,100,,,,,
TMEM173,Q86WV6,TMEM173,STING,none,Alexa Fluor 488,rabbit,EPR13130,IgG,,Abcam,ab198950,FITC/488,xxx,Level 2,,Level 0,,no comment,no comment,no comment,x,cue,,,,,,CAJ_TMA11_13,TMA13,14,2,TMEM173,500,ZM2_029_ALL2,ALL2,9,2,GOOD cytoplasmic staining
HES1,Q14469,,HES1,none,Alexa Fluor 488,rabbit,EPR4226,IgG,,Abcam,AB196328,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA11_13,TMA13,9,2,Hes1,200,ZM1_051_Nicole3,LP40,17,2,
,,,PARP,cleaved,Alexa Fluor 555,xxx,xxx,xxx,,CST,6894S,PE/555/Cy3,xxx,Level 1,,,,Level 0,Level 0,Works (treated crios),,x,,,,,,CAJ_TMA11_13,TMA13,6,3,cPARP,200,AM_TB,TB_B5;TB_C3_TB_E1,11,3,
,none,,Tyrosine,p_Y,Alexa Fluor 647,mouse,p-Tyr-100,IgG1,,CST,9415S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA11_13,TMA13,9,4,pTyrosine,,,,,,
SOX2,P48431,,SOX2,none,Alexa Fluor 647,rabbit,D6D9,IgG,H,CST,5067S,647/Cy5,xxx,Level 1,,,,Level 2,no comment,Works,x,cue,,,,,,CAJ_TMA11_13,TMA13,10,4,SOX2,200,,,,,
RPS6,P62753,,"S6, ribosomal protein",p_S235/236,Alexa Fluor 488,rabbit,D57.2.2E,IgG,,CST,4803S,FITC/488,xxx,Level 2,triplet,,,,,,,cue,,,,,,CAJ_TMA11_13,TMA13,17,2,pS6,100,,,,,
,multiple,,AKT_pan,none,Alexa Fluor 647,rabbit,C67E7,IgG,H M Rt Mk Dm,CST,5186S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA11_13,TMA13,17,4,AKT,200,,,,,
RPS6,P62753,,"S6, ribosomal protein",p_S235/236,Alexa Fluor 555,rabbit,D57.2.2E,IgG,,CST,3985S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2 (discontinued),no comment,x,x,,,,,,CAJ_TMA11_13,TMA13,11,3,"S6, ribosomal",100,,,,,
,,,HER3,none,Phycoerythrin,rabbit,D22C5,IgG,H M,CST,77956S,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works,,x,,,,,,CAJ_TMA11_13,TMA13,12,3,HER3,200,,,,,
,,,BTK,p_Y511,eFluor 660,mouse,M4G3LN,IgG2b,,eBioscience,50-9015-80,647/Cy5,xxx,Level 1,,,,Level 1,Level 1,no comment,x,x,,,,,,CAJ_TMA11_13,TMA13,14,4,pBTK,100,,,,,
,,,CD45RO,none,APC,mouse,UCHL1,IgG2a,,BioLegend,304210,647/Cy5,naive T-cells,Level 0,,,,Level 0,Level 0,no comment,x,x,,,,,,CAJ_TMA11_13,TMA13,15,4,CD45RO,200,,,,,
,multiple,,AKT,p_S473,Alexa Fluor 647,rabbit,D9E,IgG,H M Rt Mk Dm,CST,4075S,647/Cy5,xxx,Level 0,,,,Level 0,Level 0,F,x,x,,,,,,CAJ_TMA11_13,TMA13,16,4,pAKT,100,,,,,
CTLA4,P16410,CTLA4,CD152,none,none,rabbit,SP355,IgG,,Abcam,ab227709,"primary, rabbit",,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA13,3,2,CTLA4,100,,,,,
,,,MDM2,none,Alexa Fluor 647,mouse,SMP14,IgG1,,Abcam,ab216074,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA13,6,4,MDM2,200,,,,,
SOX2,P48431,,SOX2,,Alexa Fluor 555,rabbit,D6D9,IgG,,CST,5179S,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA13,9,3,Sox2,200,,,,,
PROM1,O43490,PROM1,CD133,,,,,,,Miltenyi,130098826,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA13,13,3,CD133,100,,,,,
SOX4,Q06945,,SOX4,none,Alexa Fluor 647,mouse,B-7,IgG2a,,Santa Cruz Biotechnologies,sc-518016 AF647,,,in progress,,,,,,,,,,,,,,CAJ_TMA11_13,TMA13,13,4,SOX4,200,,,,,
,,,CD39,none,FITC,mouse,eBio1 (A1),IgG1,,eBioscience,11-0399-42,,,,,,,,,,,,,,,,,CAJ_TMA11_13,TMA13,16,2,CD39,100,,,,,
STAT5B,P51692,,STAT5b,none,Alexa Fluor 488,rabbit,EPR16671,IgG,H M Rat,Abcam,ab199767 ,FITC/488,,in progress,,Level 0,,,,,x,cue,,,,,,CAJ_TMA2_4,TMA2,10,2,,,ZM1_149_MART1,AD;PS,10,2,
HAVCR2,Q8TDQ0,TIM3,TIM3,none,Alexa Fluor 647,rabbit,D5D5R,IgG,H (no others mentioned),CST,78226S,647/Cy5,xxx,in progress,,,,no comment,no comment,May work/didn't work,,cue,,,,,,CAJ_TMA2_4,TMA2,13,4,200,"RARE bright cell staining, need to improve registration",ZM2_029_ALL2,ALL2,8,4,
SPI1,P17947,PU.1,SPI1,none,Alexa Fluor 488,rabbit,9G7,IgG,,CST,2216S,FITC/488,,in progress,,Level 0,,,,,x,cue,,,,,,CAJ_TMA2_4,TMA2,13,2,,,,,,,
SOX2,P48431,,SOX2,none,Alexa Fluor 647,rabbit,polyclonal,IgG,M (Ov Bo X Mk),Abcam,ab192075,647/Cy5,xxx,Level 1,,Level 1,,Level 1,Level 1,no comment,x,cue,,,,,,CAJ_TMA2_4,TMA2,14,4,,,,,,,
ALCAM,Q13740,MEMD,CD166,none,Alexa Fluor 488,rabbit,EPR2759(2),IgG,H (M Rat),Abcam,ab197543,FITC/488,activated leukocytes,Level 1,,Level 0,,no comment,no comment,May work,,x,,,,,,CAJ_TMA2_4,TMA2,11,2,,,,,,,
LAG3,P18627,Lag3,CD223,none,Phycoerythrin,mouse,T47-530,IgG1,,BD,565617,PE/555/Cy3,"activated T-cells, pDC, NK, B-cells",Level 0,,,,no comment,no comment,Didn't work,x,x,,,,,,CAJ_TMA2_4,TMA2,13,3,200,WEAK. Brightest foci in non-cellular space.,,,,,
IRF5,Q13568,,IRF5,none,eFluor 660,mouse,ALYSCLN,IgG1,,eBioscience,50-9698-42,647/Cy5,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA2_4,TMA3,10,4,,,,,,,
NGFR,P08138,CD271;p75NTR,NGFR,none,Alexa Fluor 647,rabbit,EP1039Y,IgG,,Abcam,AB195180,647/Cy5,xxx,Level 2,Triplet,,,Level 2,Level 2,Works,x,cue,,,,,,CAJ_TMA2_4,TMA3,11,4,,,,,,,
TFRC,P02786,TfR1; Transferrin Receptor,CD71,none,FITC,rat,R17217,IgG2a,,Thermo Fisher,11-0711-81,FITC/488,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA2_4,TMA3,12,2,,,,,,,
SPI1,P17947,PU.1,SPI1,none,Phycoerythrin,rabbit,9G7,IgG,,CST,81886S,PE/555/Cy3,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA2_4,TMA3,13,3,,,,,,,
ERG,P11308,,ERG,none,Alexa Fluor 488,rabbit,EPR3864,IgG,,Abcam,ab196374,FITC/488,,in progress,,,,,,,x,x,,,,,,CAJ_TMA2_4,TMA3,13,2,,,,,,,
PRLR,P16471,Prolactin receptor,PrlR,none,Alexa Fluor 488,rabbit,EPR7184(2),IgG,H (M Rt),Abcam,ab201760,FITC/488,xxx,Level 0,,Level 1,,no comment,no comment,ONgoing (pituitary),,x,,,,,,CAJ_TMA2_4,TMA4,13,2,,,,,,,
NANOG,Q9H9S0,,NANOG,none,Alexa Fluor 647,xxx,EPR2027(2),xxx,,Abcam,ab195018,647/Cy5,xxx,Level 0,,,,no comment,no comment,Didn't work (seminoma),x,x,,,,,,CAJ_TMA2_4,TMA4,14,4,,,,,,,
CTNNB1,P35222,,"Catenin, beta",none,Alexa Fluor 555,rabbit,clone E247,IgG,H (M Rt Sh Mk),Abcam,ab202496,PE/555/Cy3,,in progress,,Level 1,,,,,x,cue,,,,,,CAJ_TMA5_7,TMA5,6,3,,,,,,,
HES1,Q14469,,HES1,none,Alexa Fluor 647,rabbit,EPR4226,IgG,,Abcam,ab196577,647/Cy5,xxx,Level 2,triplet,,,Level 2,Level 0,no comment,x,cue,,,,,,CAJ_TMA5_7,TMA5,14,4,,,,,,,
CASP3,P42574,Caspase 3,CASP3,"cleaved, D214",Alexa Fluor 488,rabbit,D3E9,IgG,,CST,9603S,FITC/488,,in progress,,,,,,,x,x,,,,,,CAJ_TMA5_7,TMA5,15,2,,,,,,,
JUN,P05412,cJun,JUN,none,Alexa Fluor 488,rabbit,E254,IgG,,Abcam,AB193780,FITC/488,xxx,Level 2,Triplet,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA5_7,TMA6,7,2,,,ZM1_059_Nicole4,BP10,10,2,
,,,NOXA2,none,Alexa Fluor 488,rabbit,EPR5064,IgG ,,Abcam,ab206256,647/Cy5,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA5_7,TMA6,13,4,,,,,,,
ESR1,P03372,ER alpha,ER alpha,none,Alexa Fluor 647,xxx,EPR4097,xxx,,Abcam,ab205851,647/Cy5,xxx,Level 0,,,,Level 0,Level 0,no comment,x,x,,,,,,CAJ_TMA5_7,TMA6,13,4,,,,,,,
AR,P10275,Androgen Receptor,AR,none,Alexa Fluor 647,rabbit,EPR1535(2),IgG,H M R  ,Abcam,ab194195,647/Cy5,xxx,Level 1,,Level 1,,no comment,no comment,Works,x,x,,,,,,CAJ_TMA5_7,TMA6,14,4,,,,,,,
CHEK2,O96017,,CHK2,p_T68,Phycoerythrin,xxx,C13C1,xxx,,CST,12812S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,Works,x,cue,,,,,,CAJ_TMA5_7,TMA7,8,3,,,ZM2_029_ALL2,ALL2,9,3,
MLH1,O75030,COCA2;MutL hoomolog 1,MLH1,none,Alexa Fluor 647,rabbit,EPR3894,IgG,,Abcam,ab199494,647/Cy5,xxx,x,,,,no comment,no comment,Works (positive in negative case),x,cue,,,,,,CAJ_TMA5_7,TMA7,9,4,,,,,,,
CASP3,P42574,Caspase 3,CASP3,"cleaved, D214",Alexa Fluor 488,rabbit,269518,IgG,,R&D Systems,IC835G,FITC/488,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA5_7,TMA7,14,2,,,,,,,
NQO1,P15559,QR1;NMOR1,NQO1,none,DYLight 550,,,,,Invitrogen,MA5-16098,647/Cy5,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA5_7,TMA7,15,4,,,,,,,
,,,p38,Thr180/Tyr182,Alexa Fluor 488,rabbit,3D7,IgG,,CST,41768S,FITC/488,,in progress,,,,,,,x,x,,,,,,CAJ_TMA8_10,TMA8,13,2,p-p38,100,AM_TB,TB_B5;TB_C3_TB_E1,5,2,
